psi_g_formula_version,ansatz,group,regime,n_seeds,H_G_mean,H_G_std,H_G_ci_lo,H_G_ci_hi,D_G_mean,D_G_std,D_G_ci_lo,D_G_ci_hi,D_inter_mean,D_inter_std,D_inter_ci_lo,D_inter_ci_hi,D_mult_mean,D_mult_std,D_mult_ci_lo,D_mult_ci_hi,M_G_mean,M_G_std,M_G_ci_lo,M_G_ci_hi,S_G_mean,S_G_std,S_G_ci_lo,S_G_ci_hi,defect_mean,defect_std,defect_ci_lo,defect_ci_hi,Psi_G_mean,Psi_G_std,Psi_G_ci_lo,Psi_G_ci_hi
v12_gated,SU2_equiv,U(1),A_confined,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v12_gated,SU2_equiv,U(1),B_multi,20,0.6348819291190606,1.1102230246251565e-16,0.6348819291190606,0.6348819291190607,0.5687897653277064,1.1390647892519134e-16,0.5687897653277064,0.5687897653277064,0.13757953065541306,2.1118826416884955e-17,0.13757953065541306,0.13757953065541306,1.0,0.0,1.0,1.0,2.9740873228942585e-05,2.0811447598052937e-17,2.9740873228933684e-05,2.9740873228950977e-05,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6117449513063443,1.1102230246251565e-16,0.6117449513063443,0.6117449513063443
v12_gated,Sn_equiv,SU(2),A_confined,20,0.0,0.0,0.0,0.0,0.5000000000000002,1.0188105198175002e-16,0.5000000000000001,0.5000000000000002,3.046191353393449e-16,4.679657431131245e-17,2.8289018075982083e-16,3.234173577375732e-16,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7333203722726148,1.1390647892519134e-16,0.7333203722726148,0.7333203722726148,0.10339086754457893,0.0,0.10339086754457893,0.10339086754457893,0.12833106514770756,3.6020391365357295e-17,0.12833106514770756,0.12833106514770756
v12_gated,Sn_equiv,SU(2),B_multi,20,0.47375634419644186,9.614813431917819e-17,0.47375634419644175,0.47375634419644186,0.6109362638326525,1.0188105198175002e-16,0.6109362638326525,0.6109362638326525,0.22187252766530524,6.07427058543681e-17,0.2218725276653052,0.2218725276653053,1.0,0.0,1.0,1.0,4.5625891943479495e-05,1.207245729469953e-16,4.562589194342722e-05,4.5625891943530886e-05,0.7333203722726148,1.1390647892519134e-16,0.7333203722726148,0.7333203722726148,0.10339086754457893,0.0,0.10339086754457893,0.10339086754457893,0.38262010631838084,1.057859471963502e-16,0.3826201063183808,0.38262010631838084
v12_gated,Sn_equiv,S_n,A_confined,20,0.8831333776808405,0.09400969881984245,0.8423677629465772,0.9203412048687737,0.5908112412160457,0.017839686839755113,0.5827357942900934,0.5979367932197815,0.18162248243209136,0.0356793736795102,0.16667999308823997,0.1955844076586955,1.0,0.0,1.0,1.0,0.2675899608691497,0.15306914439353406,0.2006301609380453,0.33535684677991306,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7239552493310868,0.0849358957600352,0.6867829920360708,0.7605347308876768
v12_gated,Sn_equiv,S_n,B_multi,20,0.8788362940903578,0.10385719132676456,0.8340260859773646,0.921493653166602,0.5931720006205857,0.015062138539210644,0.5864674037652047,0.5994570389040498,0.1863440012411715,0.030124277078421316,0.17288111485007973,0.1994148672871788,1.0,0.0,1.0,1.0,0.15797224474359325,0.06785126758040792,0.12931542311874628,0.18782720464857128,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7444725688498114,0.07224864158195807,0.7127148392762139,0.7745838838345771
v12_gated,Sn_equiv,U(1),A_confined,20,0.8831333776808405,0.09400969881984245,0.8416895798542771,0.9219143002699088,0.5908112412160457,0.017839686839755113,0.5829291069955452,0.598309244718092,0.18162248243209136,0.0356793736795102,0.1654687294703436,0.196802189006785,1.0,0.0,1.0,1.0,0.2675899608691497,0.15306914439353406,0.20222036197108872,0.3333056532025566,0.9400154596537492,1.1390647892519134e-16,0.9400154596537492,0.9400154596537492,0.0206196524710567,3.5595774664122295e-18,0.0206196524710567,0.0206196524710567,0.6805291264687062,0.0798410550939724,0.6460818994536692,0.7128573170038495
v12_gated,Sn_equiv,U(1),B_multi,20,0.8788362940903578,0.10385719132676456,0.8327092935603005,0.9185076474963201,0.5931720006205857,0.015062138539210644,0.5869075369785108,0.5993436528379592,0.1863440012411715,0.030124277078421316,0.17287458333127656,0.19877204641403817,1.0,0.0,1.0,1.0,0.15797224474359325,0.06785126758040792,0.1294127910616057,0.18686448996331045,0.9400154596537492,1.1390647892519134e-16,0.9400154596537492,0.9400154596537492,0.0206196524710567,3.5595774664122295e-18,0.0206196524710567,0.0206196524710567,0.6998157240069627,0.0679148400260233,0.6688185798910521,0.7273661277019073
v12_gated,U1_broken,SU(2),A_confined,20,0.35894999692432855,0.02293967257485387,0.34902013057471026,0.3686335268613901,0.5867281340796099,0.004076454098568298,0.5849239495665518,0.5885138350067609,0.17345626815921988,0.008152908197136573,0.16965526165958833,0.17690131753041982,1.0,0.0,1.0,1.0,0.07721945019744095,0.04279374728971408,0.060217619789813506,0.09534933447294078,0.8333511397343776,1.1390647892519134e-16,0.8333511397343776,0.8333511397343776,0.06076672978032911,1.4238309865648918e-17,0.06076672978032911,0.06076672978032911,0.3599381743151474,0.015683181219737496,0.3528867569020061,0.3662266952375531
v12_gated,U1_broken,SU(2),B_multi,20,0.8070337839231314,0.013900283339456893,0.8014827740239047,0.8132475798034505,0.6915239564017581,0.0037328253075410473,0.6900421819241385,0.6931624010762998,0.38304791280351624,0.007465650615082102,0.3801214745863293,0.3863852652244113,1.0,0.0,1.0,1.0,0.054957715789411735,0.0185514926564975,0.047389683186938786,0.0636272452430926,0.8333511397343776,1.1390647892519134e-16,0.8333511397343776,0.8333511397343776,0.06076672978032911,1.4238309865648918e-17,0.06076672978032911,0.06076672978032911,0.6296090840805231,0.008810991499298673,0.6259995090079591,0.6336438179136155
