psi_g_formula_version,ansatz,seed,expr_KL,MW_mean,grad_var
v12_gated,HEA,8,0.04384926641081963,0.8391456487624744,0.07412040332827412
v12_gated,U1_equiv,8,0.029130294713612642,0.69112979539787,0.009131694385614541
v12_gated,SU2_equiv,8,5.779178526876933,0.2214063861051577,0.3894746149879869
v12_gated,Sn_equiv,8,0.5468543487177641,0.5145211271791033,0.3343996563072971
v12_gated,U1_broken,8,0.017211421503225882,0.7130975706941292,0.014278639427372822
v12_gated,HEA,9,0.02933430867708482,0.8343469441386883,0.09148772656938275
v12_gated,U1_equiv,9,0.04707400464130011,0.6719410480335114,0.005644947767072616
v12_gated,SU2_equiv,9,5.630506279771171,0.2001645898204716,0.4786041108846998
v12_gated,Sn_equiv,9,0.4974182395867264,0.5554740934277453,0.358176044765675
v12_gated,U1_broken,9,0.029344815783603033,0.6974365434778379,0.008541661063802372
v12_gated,HEA,10,0.03608496008829452,0.8346000448685349,0.08238378720266384
v12_gated,U1_equiv,10,0.026873346125280622,0.6912314278697597,0.007563459772620395
v12_gated,SU2_equiv,10,5.594944369540193,0.21553788947478292,0.5223153626835869
v12_gated,Sn_equiv,10,0.5050935830304294,0.5573867752966609,0.3755080974448366
v12_gated,U1_broken,10,0.007589357203446428,0.7178764131316888,0.009262365058174474
v12_gated,HEA,11,0.02088327729569619,0.8510396854760153,0.07377457977599212
v12_gated,U1_equiv,11,0.02593724505097847,0.6878023821106015,0.005962745194665168
v12_gated,SU2_equiv,11,5.663724193124596,0.20500982861022896,0.32753556739420897
v12_gated,Sn_equiv,11,0.4604701256286051,0.5432304030660111,0.3157591540192331
v12_gated,U1_broken,11,0.022581829138992513,0.7100699929516153,0.007960668305054173
v12_gated,HEA,12,0.02664237121554305,0.8417676049459105,0.08615871641787112
v12_gated,U1_equiv,12,0.03058034164348566,0.668719101112909,0.0070833681266121214
v12_gated,SU2_equiv,12,5.495915668089054,0.22029647906104224,0.5393596140635614
v12_gated,Sn_equiv,12,0.5457460547943316,0.537783844983562,0.3137406408798543
v12_gated,U1_broken,12,0.028965257120570985,0.6924387793865574,0.011325134783991
v12_gated,HEA,13,0.024381212650230334,0.8349089005862492,0.09367685604238889
v12_gated,U1_equiv,13,0.03242510321405278,0.6912277228190098,0.00618591461867371
v12_gated,SU2_equiv,13,4.963223159977842,0.2429532055460173,0.46876429775804257
v12_gated,Sn_equiv,13,0.4324242809374096,0.5504083893419673,0.398303470842368
v12_gated,U1_broken,13,0.025337161254407287,0.7143317148064219,0.007866198845998953
v12_gated,HEA,14,0.020782177484496945,0.8352852920521481,0.0699775447142434
v12_gated,U1_equiv,14,0.039341217939372744,0.6775776668753486,0.009100303471057693
v12_gated,SU2_equiv,14,5.134849726519069,0.2147644258694688,0.5879858326281566
v12_gated,Sn_equiv,14,0.4376117736589635,0.5701449697575103,0.3430927647178027
v12_gated,U1_broken,14,0.03250451078009504,0.6966620709129969,0.011917603422502905
v12_gated,HEA,15,0.01773112080446745,0.8418378654198563,0.08115767910720233
v12_gated,U1_equiv,15,0.05950417528366096,0.6784692567802608,0.007406932185788776
v12_gated,SU2_equiv,15,4.788536697075979,0.22638066991038414,0.5504708351620275
v12_gated,Sn_equiv,15,0.4696303936710021,0.5669038811201437,0.3420474768031387
v12_gated,U1_broken,15,0.02764850282550228,0.6971652618759676,0.013776037822115164
v12_gated,HEA,16,0.030740151764294982,0.8398272365237694,0.10784809074466947
v12_gated,U1_equiv,16,0.03734789173936604,0.6956854111308843,0.006938368518789896
v12_gated,SU2_equiv,16,4.864849393314613,0.21967719465539962,0.6856275030045631
v12_gated,Sn_equiv,16,0.5442682298762802,0.5297500576887454,0.32042957652811677
v12_gated,U1_broken,16,0.02946176105998884,0.7153332031559984,0.006960832509049278
v12_gated,HEA,17,0.0363876155577598,0.832908686207862,0.10311328056746602
v12_gated,U1_equiv,17,0.01792704126940953,0.6818360254054123,0.005208716142577884
v12_gated,SU2_equiv,17,5.155053652627215,0.22377675293337382,0.7735164350547082
v12_gated,Sn_equiv,17,0.41362416415160685,0.5343761481912089,0.32977471884208515
v12_gated,U1_broken,17,0.024948450127033322,0.7104215569601263,0.009683359111878452
v12_gated,HEA,18,0.04466609585649155,0.8325155266482205,0.0747184115106464
v12_gated,U1_equiv,18,0.02959876551973763,0.7036204718594006,0.005139480553069513
v12_gated,SU2_equiv,18,5.3830592929114855,0.22803381273001516,0.5254078301734089
v12_gated,Sn_equiv,18,0.5328259516722428,0.5621114565860892,0.3551524642401696
v12_gated,U1_broken,18,0.026236165216452154,0.7229338941090794,0.007388924786243675
v12_gated,HEA,19,0.02154197751989862,0.8296651551504991,0.08639359763284545
v12_gated,U1_equiv,19,0.046174158273515425,0.6666894284568319,0.005126762993009526
v12_gated,SU2_equiv,19,5.4190802480669005,0.2282161017069594,0.5152427354123045
v12_gated,Sn_equiv,19,0.5734870388419678,0.5325859023263885,0.396309753529538
v12_gated,U1_broken,19,0.04419232729209296,0.6870016560757872,0.00812962239579875
