psi_g_formula_version,w_H,w_D,w_M,gamma,kendall_tau_vs_convention,top_ansatz,score_HEA,score_SU2_equiv,score_Sn_equiv,score_U1_broken,score_U1_equiv
v12_gated,0.22313431107686882,0.6505062325010895,0.1263594564220416,3.0,1.0,Sn_equiv,0.6144983393276919,0.5629900055639183,0.6754671873143665,0.5959307186042113,0.591886178741252
v12_gated,0.6307738088243225,0.14614645727984812,0.22307973389582925,3.0,1.0,Sn_equiv,0.7103979522695338,0.49379988146877957,0.8061169215356045,0.6481536439782123,0.6252185813481816
v12_gated,0.46553019642163324,0.2374867074804409,0.2969830960979259,3.0,1.0,Sn_equiv,0.690351311160911,0.5063283321886012,0.7697641409722096,0.6345540923667793,0.6191803111321106
v12_gated,0.4510864636293992,0.26994910251173493,0.27896443385886593,3.0,1.0,Sn_equiv,0.6845244805229477,0.5107819104135916,0.762992356100932,0.6317271573086063,0.6170351414299955
v12_gated,0.2267278527317954,0.40627398985937163,0.36699815740883296,3.0,1.0,Sn_equiv,0.6552574994015874,0.5294810446064949,0.7118273282669456,0.6124387194150894,0.60802347239883
v12_gated,0.6609637051834955,0.12513788007304558,0.21389841474345894,3.0,1.0,Sn_equiv,0.7147796777335462,0.49091812499519544,0.8133929804332543,0.6509274398103921,0.6266072570351016
v12_gated,0.12472072878432033,0.5441291196112831,0.33115015160439654,3.0,0.8,Sn_equiv,0.6293213639228625,0.5483927751018701,0.6774238811232423,0.5985911995188783,0.5989130054637894
v12_gated,0.23413783284839243,0.573225331576411,0.1926368355751966,3.0,1.0,Sn_equiv,0.6276846490256753,0.5523871851632718,0.6883421772634434,0.6016012581701581,0.596992589257416
v12_gated,0.05816668095172239,0.5236115216710182,0.41822179737725934,3.0,0.8,Sn_equiv,0.6307862399798564,0.5455762905632816,0.6711967179689367,0.596948998074919,0.6002674138256128
v12_gated,0.5655490560217591,0.28625194257071734,0.14819900140752354,3.0,1.0,Sn_equiv,0.6851651555640343,0.5130211592702224,0.7764896096127893,0.6358220034809685,0.6159601205599907
v12_gated,0.24135566265492764,0.6914580349594485,0.0671863023856238,3.0,1.0,Sn_equiv,0.6082156628224724,0.5686090495947251,0.6719838316615561,0.5940155755153793,0.5891807028097428
