psi_g_formula_version,ansatz,group,regime,n,L,T,n_params,H_G,D_G,D_inter,D_mult,M_G,S_G,defect,Psi_raw,Psi_G,seed
v12_gated,U1_broken,S_n,B_multi,6,2,40,36,0.6610719966243848,0.5733522657967207,0.14670453159344143,1.0,0.09979205543919546,0.7945914050925423,0.07664241743560868,0.6138776575005923,0.4877819104283141,3
v12_gated,HEA,U(1),A_confined,6,2,40,36,0.7987455846671618,0.6031483907355785,0.206296781471157,1.0,0.02810606574776795,0.9098358155223052,0.03149703941743346,0.724674167811509,0.6593345124587321,4
v12_gated,HEA,SU(2),A_confined,6,2,40,36,0.8312211638518324,0.7078872101374707,0.41577442027494127,1.0,0.013847249605480005,0.7788007830714304,0.08333333333332238,0.7851767483185024,0.611496266439929,4
v12_gated,HEA,S_n,A_confined,6,2,40,36,0.7987455846671618,0.6031483907355785,0.206296781471157,1.0,0.02810606574776795,1.0,0.0,0.724674167811509,0.724674167811509,4
v12_gated,U1_equiv,U(1),A_confined,6,2,40,36,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4
v12_gated,U1_equiv,SU(2),A_confined,6,2,40,36,0.0,0.0,0.0,0.0,0.0,0.8537525485233151,0.05270462766946591,0.0,0.0,4
v12_gated,U1_equiv,S_n,A_confined,6,2,40,36,0.0,0.0,0.0,0.0,0.0,0.7888565204765229,0.07905694150419705,0.0,0.0,4
v12_gated,SU2_equiv,U(1),A_confined,6,2,40,12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4
v12_gated,SU2_equiv,SU(2),A_confined,6,2,40,12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4
v12_gated,SU2_equiv,S_n,A_confined,6,2,40,12,0.0,0.0,0.0,0.0,0.0,0.7362495038917184,0.10206207261594999,0.0,0.0,4
v12_gated,Sn_equiv,U(1),A_confined,6,2,40,4,0.6307658304919597,0.5469408573707093,0.0938817147414187,1.0,0.5882751699305441,0.9400154596537491,0.020619652471056703,0.5086611208697625,0.478149317342381,4
v12_gated,Sn_equiv,SU(2),A_confined,6,2,40,4,0.0,0.5000000000000001,1.560429292720789e-16,1.0,0.0,0.7333203722726147,0.10339086754457893,0.17500000000000002,0.1283310651477076,4
v12_gated,Sn_equiv,S_n,A_confined,6,2,40,4,0.6307658304919597,0.5469408573707093,0.0938817147414187,1.0,0.5882751699305441,1.0,0.0,0.5086611208697625,0.5086611208697625,4
v12_gated,U1_broken,U(1),A_confined,6,2,40,36,0.38730449483959734,0.5381109337872253,0.07622186757445062,1.0,0.17572704706077785,0.9720161725610506,0.009460945407606792,0.42307177967338494,0.4112326119967157,4
v12_gated,U1_broken,SU(2),A_confined,6,2,40,36,0.34745074402781856,0.5862382884201879,0.17247657684037584,1.0,0.038225250772035785,0.8333511397343775,0.0607667297803291,0.4277060366097994,0.3564293130800497,4
v12_gated,U1_broken,S_n,A_confined,6,2,40,36,0.38730449483959734,0.5381109337872253,0.07622186757445062,1.0,0.17572704706077785,0.7945914050925423,0.07664241743560868,0.42307177967338494,0.33616919986567745,4
v12_gated,HEA,U(1),B_multi,6,2,40,36,0.833695671713827,0.6046825605734281,0.20936512114685604,1.0,0.0357731551202381,0.9098358155223052,0.03149703941743346,0.7460851016678649,0.6788149469250239,4
v12_gated,HEA,SU(2),B_multi,6,2,40,36,0.8693920770772777,0.7147862255722376,0.4295724511444751,1.0,0.03931352111906589,0.7788007830714304,0.08333333333332238,0.8067353131047821,0.6282860935773799,4
v12_gated,HEA,S_n,B_multi,6,2,40,36,0.833695671713827,0.6046825605734281,0.20936512114685604,1.0,0.0357731551202381,1.0,0.0,0.7460851016678649,0.7460851016678649,4
v12_gated,U1_equiv,U(1),B_multi,6,2,40,36,0.6348819291190607,0.5687897653277065,0.13757953065541306,1.0,2.9740873228928e-05,1.0,0.0,0.6117449513063444,0.6117449513063444,4
v12_gated,U1_equiv,SU(2),B_multi,6,2,40,36,0.761710071516074,0.6807390641062074,0.36147812821241476,1.0,0.029376058745745687,0.8537525485233151,0.05270462766946591,0.7277762089706001,0.6213407931632866,4
